d3mIndex,cylinders,displacement,horsepower,weight,acceleration,model,origin,class
294,4,86.0,65.0,1975.0,15.2,79,3,34.1
298,8,350.0,125.0,3900.0,17.4,79,1,23.0
307,6,173.0,115.0,2700.0,12.9,79,1,26.8
312,4,86.0,65.0,2019.0,16.4,80,3,37.2
318,4,134.0,90.0,2711.0,15.5,80,3,29.8
323,4,156.0,105.0,2800.0,14.4,80,1,27.9
334,3,70.0,100.0,2420.0,12.5,80,3,23.7
337,4,107.0,72.0,2290.0,17.0,80,3,32.4
341,6,173.0,110.0,2725.0,12.6,81,1,23.5
350,4,105.0,63.0,2215.0,14.9,81,1,34.7
351,4,98.0,65.0,2045.0,16.2,81,1,34.4
352,4,98.0,65.0,2380.0,20.7,81,1,29.9
367,4,112.0,88.0,2605.0,19.6,82,1,28.0
370,4,112.0,85.0,2575.0,16.2,82,1,31.0
371,4,135.0,84.0,2525.0,16.0,82,1,29.0
373,4,140.0,92.0,2865.0,16.4,82,1,24.0
375,4,105.0,74.0,1980.0,15.3,82,2,36.0
376,4,91.0,68.0,2025.0,18.2,82,3,37.0
377,4,91.0,68.0,1970.0,17.6,82,3,31.0
378,4,105.0,63.0,2125.0,14.7,82,1,38.0
380,4,120.0,88.0,2160.0,14.5,82,3,36.0
383,4,91.0,67.0,1965.0,15.0,82,3,38.0
386,6,181.0,110.0,2945.0,16.4,82,1,25.0
389,6,232.0,112.0,2835.0,14.7,82,1,22.0
393,4,140.0,86.0,2790.0,15.6,82,1,27.0
394,4,97.0,52.0,2130.0,24.6,82,2,44.0
396,4,120.0,79.0,2625.0,18.6,82,1,28.0
